"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9"
"432","ENSMUSG00000053318",18.7427055657975,-1.29718714727282,0.237697817725179,-5.45729514762564,4.83442394026394e-08,7.84533709604236e-07,21.7311273067785,24.8678921040867,28.1923129917996,15.1127459641977,27.0275777763662,34.8008474678171,18.4109857497298,19.7633271006345,14.7606413106931,35.792533347021,20.7763812184113,52.2908551566748,11.8684167643158,11.7643623631468,13.1845725172037,12.3778765477404,2.8831357779601,11.4860180672248,12.1347695671317,11.6318491007182,9.70390620110178,6.91744949877377,13.6026441138146
"433","ENSMUSG00000053399",7.79709527714425,2.18733626473124,0.427635499964173,5.11495482698349,3.13816048740511e-07,4.36292352332123e-06,6.20889351622243,0.956457388618719,0,0,1.2285262625621,4.97154963825959,2.45479809996398,0.988166355031727,12.9155611468565,1.325649383223,3.66642021501376,0,15.1052577000384,10.7839988328846,23.5438794950066,15.0302786651134,13.6948949453105,8.6145135504186,10.6179233712402,17.9764940647463,11.6446874413221,6.91744949877377,10.6877918037115
"434","ENSMUSG00000053550",18.941850480378,2.11454737875503,0.298893378154113,7.07458757304668,1.49893883757293e-12,4.46304213976919e-11,1.03481558603707,5.73874433171232,4.145928381147,17.7797011343503,2.4570525251242,2.4857748191298,2.45479809996398,12.8461626154125,7.38032065534656,1.325649383223,10.9992606450413,17.1133707785481,18.3420986357609,31.3716329683915,18.8351035960053,38.9018977214699,36.0391972245013,27.7578769957933,31.095347015775,40.1827514388446,39.7860154245173,32.6108333513621,34.9782277212376
"435","ENSMUSG00000053695",7.07735866534505,1.42942717803944,0.31021262455156,4.60789492402447,4.06766118689554e-06,4.46863016375104e-05,2.06963117207414,4.7822869430936,5.80429973360579,2.66695517015254,0,1.2428874095649,3.68219714994596,8.89349719528555,7.38032065534656,2.651298766446,2.44428014334251,3.8029712841218,10.7894697857417,13.7250894236713,15.0680828768042,12.3778765477404,7.92862338939029,10.5288498949561,9.8595002732945,12.6892899280562,11.6446874413221,6.91744949877377,5.82970462020626
"436","ENSMUSG00000053961",34.6521256370381,-7.54354582099324,0.681555413423505,-11.0681327921694,1.79093289547091e-28,1.63481538978019e-26,19.6614961347044,82.2553354212099,109.452509262281,61.3399689135085,65.1118919157913,48.472608973031,65.0521496490454,124.508960733998,22.1409619660397,117.982795106847,48.8856028668501,28.5222846309135,0,0,1.88351035960053,0,0,0,0.758423097945731,0,0.970390620110178,0,0
"437","ENSMUSG00000053985",10.3878023965609,1.34735195374129,0.271695540760247,4.95905067109745,7.08384903168361e-07,9.18639590662909e-06,14.487418204519,9.56457388618719,6.63348540983519,5.33391034030509,2.4570525251242,6.21443704782449,4.90959619992795,0.988166355031727,4.6127004095916,3.976948149669,7.33284043002752,4.75371410515225,18.3420986357609,15.6858164841958,12.2428173374034,15.0302786651134,15.8572467787806,15.3146907562997,12.8931926650774,9.51696744604215,8.73351558099161,18.7759343538145,25.2620533542271
"438","ENSMUSG00000054072",226.510602174961,-1.31394734585689,0.293585451350485,-4.47551927322271,7.62258219638318e-06,7.86344445909417e-05,315.618753741307,139.642778738333,142.619936311457,224.913219349531,288.703671702094,689.802512308519,233.205819496578,184.787108390933,120.8527507313,486.51332364284,600.070775190585,380.29712841218,93.8683871359526,162.740346023531,76.2821695638213,134.388373946896,158.572467787806,135.91788046216,43.2301165829067,124.778017625886,114.506093173001,167.995202113077,190.437017593405
"439","ENSMUSG00000054385",31.6339545575502,1.38553976227848,0.409323446727777,3.38495088262057,0.000711909921712394,0.00412065951068255,19.6614961347044,24.8678921040867,17.4128992008174,16.0017310209153,9.8282101004968,24.857748191298,15.9561876497658,4.94083177515864,18.4508016383664,17.233441981899,32.9977819351238,12.3596566733959,103.57890994312,103.918534207797,16.9515932364047,64.541784856075,92.9811288392134,17.2290271008372,13.6516157630232,13.7467307553942,14.5558593016527,55.3395959901902,16.5174964239177
"440","ENSMUSG00000054404",159.417755759014,-1.04255106426968,0.216790072602929,-4.80903508058327,1.51660591936032e-06,1.83780848306764e-05,145.908997631227,136.773406572477,104.477395204904,142.237609074802,334.159143416891,254.791918960804,182.882458447316,217.39659810698,317.353788179902,155.100977837091,415.527624368226,132.153252123233,66.8947126715984,120.584714222255,76.2821695638213,137.924910103393,155.689332009846,101.459826260486,52.3311937582554,117.37593183452,101.891015111569,68.1862879164843,129.225119081239
"441","ENSMUSG00000054417",9.90987443948968,-3.00063681807625,0.495240450919638,-6.05894936995596,1.37013507093118e-09,2.84590181275001e-08,7.2437091022595,20.0856051609931,4.145928381147,5.33391034030509,3.6855787876863,19.8861985530384,7.36439429989193,11.8579962603807,30.4438227033046,29.164286430906,14.665680860055,50.3893695146139,0,1.96072706052447,0.941755179800263,0.884134039124315,1.44156788898005,5.7430090336124,0.758423097945731,3.17232248201405,1.94078124022036,0.988207071253396,5.82970462020626
"442","ENSMUSG00000054676",220.991391481507,-2.32509530711612,0.107621943369248,-21.604286582512,1.63697654108287e-103,9.87523891631515e-101,363.220270699012,326.151969518983,290.21498668029,440.04760307517,313.274196953336,313.207627210354,315.441555845371,349.810889681232,428.058598010101,380.461372985001,419.19404458324,354.627072244358,57.1841898644309,78.4290824209789,66.8646177658187,69.8465890908209,54.058795836752,100.502658088217,46.2638089746896,69.7910946043091,84.4239839495855,83.9976010565387,77.7293949360835
"443","ENSMUSG00000054999",263.717664152681,1.24019373645764,0.212490834691514,5.8364575500779,5.33223395830368e-09,1.00386358441606e-07,113.829714464078,187.465648169269,58.042997336058,184.908891797243,54.0551555527324,212.533747035598,135.013895498019,93.8758037280141,343.184910473615,233.314291447248,147.878948672222,152.118851364872,308.578835872212,397.047229756205,373.876806380705,350.117079493229,408.684496525845,440.297359243617,320.054547333098,489.595103057502,343.518279519003,258.91025266839,458.603430122893
