"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP",166,-0.586278789960762,-1.87223822151976,8.93960997859738e-06,0.00428009408375584,0.00413743312541273,1310,"tags=22%, list=9%, signal=20%","Cd47/Sox12/Skap1/Bach2/Ets1/Myc/Rhoh/Il4ra/Ighm/Sp110/Ikzf3/Il2rg/Tent5c/Rasgrp3/Gpr18/Cd37/Sp140/Igkv8-27/Eaf2/Map4k1/Cd79b/Tnfrsf13b/Ms4a1/Cd22/Ppp1r16b/Igkc/Cd79a/Cd19/Blk/Pax5/H2-Ob/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Vpreb3"
"GSE45365_NK_CELL_VS_CD11B_DC_DN","GSE45365_NK_CELL_VS_CD11B_DC_DN","GSE45365_NK_CELL_VS_CD11B_DC_DN",171,-0.580520190377302,-1.86961466288759,1.28992260395788e-05,0.00505451211120113,0.00488603881887853,3072,"tags=53%, list=22%, signal=41%","Ier5/Syk/Rasa3/Stx11/Jdp2/Osmr/Birc3/Rnf19b/Serpine1/Nopchap1/Tubb6/Adamts9/Arhgef10l/Phlda1/Lyn/Csrnp1/Nip7/S1pr3/Cfl1/Mrto4/Ier3/Cd14/Gar1/Ltb4r2/Nfkbia/Msn/Nfil3/Ccdc86/Clic4/Ppp1r18/Csf2rb2/Eif5a/Isy1/Ptpn6/Pde4b/Tnip1/Stom/Ddx39a/Nsmce1/Prss27/Ch25h/Slc7a5/Nfkbid/Icam1/Tgfb1/Rnd1/Adamts4/Sema4c/Cyth4/Sh3bp2/Marcksl1/Rab31/Dusp5/Inhbb/Fst/AA467197/Cish/Tgm2/Bcl2l11/Mafb/Nrros/Myo1g/Cyp4f18/Itgb2/Mpeg1/Rnf122/Coro1a/Myo1f/Arhgdib/Mefv/Pim1/Selplg/Lif/Il1rn/Tnfaip2/Gpsm3/Adam8/Saa1/Slc15a3/Cd300lf/Cd86/Spi1/Cxcl14/Mmp9/Pilra/Clec7a/Plbd1/Timp1/Csf3r/Il1b"
"GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP","GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP","GSE3039_NKT_CELL_VS_ALPHAALPHA_CD8_TCELL_UP",177,-0.576434974559122,-1.85796501048481,1.28305194897891e-05,0.00505451211120113,0.00488603881887853,1055,"tags=21%, list=8%, signal=20%","Csf1/H2aj/Fcgr2b/Sfi1/Mapk13/Upp1/Tbc1d23/Htra3/Acbd4/Tnfaip6/Ccdc28a/Pim1/Abca3/Clec16a/Alpk1/Ccr1/Pi16/Srgn/Zfp69/Tmem53/Emb/Rhov/Emilin2/P2ry13/Hcar2/Hebp1/Pgf/Steap4/Ncf4/Il1r2/Hdc/Lcn2/Slpi/Mmp3/Prss22/Hal/Ifi44l"
"PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP","PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP","PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP",94,-0.670199054562913,-1.9723470171045,1.96687176744287e-05,0.00715660341668143,0.00691806475796824,1010,"tags=39%, list=7%, signal=37%","Itgam/Pirb/Hgf/Sash3/Samsn1/Slc38a6/Lcp1/Igsf6/Ly86/Mpeg1/Tyrobp/Cybb/Ikzf1/Evi2a/Cx3cr1/Ccr1/Cd163/Cd180/Npl/Gpsm3/Srgn/Clu/Serpina3c/Lyz2/Slc15a3/Havcr2/Ms4a6c/Cd84/Cd86/Aif1/Clec7a/Ccl2/Cd33/Serpina3n/AI467606/Timp1/Pla2g2a"
"FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP","FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP",91,-0.673727325510661,-1.96883014456064,2.16367689320365e-05,0.00734784672931959,0.00710293368870643,1514,"tags=40%, list=11%, signal=35%","Irf1/Slc7a5/Batf3/Slc22a1/Gadd45b/Isg15/Nme2/Ptgs2/Dusp5/Cd38/Socs1/Adora2a/Mthfd1l/Runx3/Ido1/Ube2l6/Tnfaip6/Phgdh/Pim1/Lif/Cd93/Gbp3/Gbp5/Abtb2/Batf/Ccl22/Psmb9/Cxcl10/Irf4/Cxcr5/Tnf/Mx2/Vpreb3/Il1b/Mmp10/Ifi44l"
"GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_DN","GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_DN","GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_DN",158,-0.588038905469351,-1.8586025275605,2.86749850691367e-05,0.00859237493777543,0.0083059801952583,2620,"tags=42%, list=19%, signal=35%","Nup210/Adamdec1/Psmb3/Txnl4b/Gimap4/P2ry6/Adm/Ccdc69/Sqor/Rgs3/Ifitm2/Myd88/Stat1/Lpar2/Uba7/Nosip/Ackr3/Serping1/Kif22/Samhd1/Il15ra/Aim2/Stom/Chrnb1/Irf1/Psmb10/Alox5ap/Isg15/Vamp5/Dcps/Cd38/Itgb7/Man1c1/Plxnc1/Sp100/Fcgr1/Fkbp11/Ido1/Tap1/Bin2/Gk/Sp110/Ube2l6/Tnfaip6/Il16/Dhx58/Ifitm1/Cybb/Pim1/Cd2/Ccr2/Sp140/Cd40/Ifitm3/Lat2/Inhba/Ltb/Psmb9/Cxcl10/Ccl2/Tnfsf10/Cxcl9/C3/Apol6/Fcmr/Sell/Ifi44l"
"HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP","HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP","HOWARD_NEUTROPHIL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP",335,-0.486127700293952,-1.66380815379832,2.80263400039711e-05,0.00859237493777543,0.0083059801952583,2116,"tags=35%, list=15%, signal=30%","Gsdmd/Stat1/Dtx3l/Npc2/Mitd1/Ctsa/Parp10/Vrk2/Rigi/N4bp2l1/Psme2/Serping1/Tspan17/Pde4b/Samhd1/Rtp4/Pced1b/Pik3ap1/Il15ra/Aim2/Cd69/Eif2ak2/Stom/Stn1/Parp9/Psme1/Stat2/Il12rb1/Cd274/Irf1/Trafd1/Rnf43/Ikzf4/Ctrl/C4bp/Spats2l/Psmb10/Slc43a3/Icam1/Gadd45b/Isg15/Oas1a/Vamp5/Nol10/Zbp1/Rilp/Cmpk2/Oas2/Xaf1/Dusp5/Socs1/Casp4/Batf2/Tmem229b/Mdk/Sephs2/Gadd45g/Rhoh/Slc25a28/Cish/Fcgr1/Emc9/Trim12c/Rnf144a/Ido1/Gbp8/Tap1/Septin4/Tifa/Fancl/H2-Eb1/Ube2l6/Tnfaip6/Herc6/Sectm1a/Limk1/Dhx58/Ifitm1/Bst2/Bloc1s6/Tnfsf13b/H2-DMb1/Gbp9/Oas1g/Rasgrp3/Gbp3/Gbp5/Tap2/H2-Ab1/Batf/Sp140/Fam111a/Slfn5/Mov10/Ifitm3/Psmb9/Psmb8/Atp10d/H2-DMa/Ifi44/Hebp1/Btla/Cd22/Ifit2/Mx2/Flt3l/Cd74/H2-Ob/Ciita/Apol6/Gbp4/Fcer2a/1600014C10Rik/Prr5l/Plscr2/Ifi44l"
"GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN","GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN","GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_DN",151,-0.591465106262184,-1.86880156619249,3.34874971686892e-05,0.00928006825328299,0.00897075182130841,1473,"tags=26%, list=11%, signal=24%","Tnfrsf25/Noc4l/Epm2a/Ociad2/Aff3/Il7r/Coro2b/Bach2/Nell2/Ets1/Rhoh/Grap/Ighm/Tnfrsf17/Spib/Hvcn1/Icos/Fcrla/Cd27/Igkv8-27/Spon1/Cd79b/Atp6v0e2/Jchain/Mzb1/Ms4a1/Cxcr5/Btla/Cr2/Cd22/Igkc/Cd79a/Cd19/H2-Ob/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Vpreb3"
"GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP","GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP","GSE33424_CD161_HIGH_VS_NEG_CD8_TCELL_UP",193,-0.56091532548845,-1.83133395084943,3.64352895692304e-05,0.00928006825328299,0.00897075182130841,1538,"tags=23%, list=11%, signal=21%","Zfp385a/Pisd/Nucb2/Icam1/Fcgr2b/Coro2b/Cd38/Casp4/Tmem229b/Cplx2/Ets1/Upp1/Gcnt1/Fcgr1/Iglc1/H2-Eb1/Iglc2/Irf5/Ly86/Spib/Mpeg1/Cnr2/Lyl1/Btk/H2-DMb1/Fcrla/Srgn/Cd40/Cd79b/Napsa/Ms4a1/Cxcr5/Plbd1/Cd22/Cd19/Blk/Cd74/Tor3a/H2-Ob/Ciita/H2-Aa/Pou2af1/Fcer2a/Sell"
"KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP","KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP","KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP",183,-0.561231797163417,-1.81682844550667,3.60118805182614e-05,0.00928006825328299,0.00897075182130841,1461,"tags=26%, list=11%, signal=24%","Batf3/Ighg2c/Irf8/Cd9/Cd47/Fcgr2b/Cfp/Cd38/Lmo2/Entpd1/Apobec1/Iglc1/H2-Eb1/Iglc2/Irf5/Ly86/Laptm5/Lyl1/Ccr2/Cd180/Cd4/Il1rn/Adam8/Cd40/Ifitm3/Cd86/Lat2/Cd79b/Napsa/Cd244a/Il18rap/Clps/Cxcr5/Cd22/Igkc/Cd19/Blk/Cd74/H2-Aa/Pou2af1/Hdc/Fcer2a/Vpreb3/Ighg3/Ighg2b/Il1b/Hp/Slpi"
"HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP","HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP","HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP",166,-0.564662089919053,-1.80320687886463,4.35493380223385e-05,0.0105638251374187,0.0102117194620802,1742,"tags=40%, list=13%, signal=35%","Rtp4/Pros1/Pced1b/Il15ra/Aim2/Cd69/Stom/Parp9/Gfra2/Stat2/Il12rb1/Cd274/Jak3/Irf1/Prdm11/Cd9/Isg15/Vamp5/Sox12/Fcgr2b/Sema6b/Ffar2/Zbp1/Cmpk2/Oas2/Xaf1/Dusp5/Cd38/Casp4/Batf2/Fcgr1/Serpinf1/Tgm2/Ido1/Tap1/Septin4/Tifa/Fancl/Ube2l6/Tnfaip6/Sectm1a/Ifitm1/Pfkfb3/Pim1/Gbp3/C2/Gbp5/Tap2/Rasl11a/Clu/Sp140/Cd40/Ifitm3/Socs3/Psmb9/Cxcl10/Ifi44/Slamf8/Ccl2/Tnfsf10/Ifit2/H2-Ob/Apol6/Hp/Prr5l/Ifi44l"
"MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_2DY_UP","MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_2DY_UP","MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_2DY_UP",46,-0.760822170227786,-2.03117177577199,4.65119300068204e-05,0.010590478736216,0.0102374846626616,1335,"tags=46%, list=10%, signal=41%","Icam1/Isg15/Dram1/Xaf1/Lgals9/Fcgr1/Bst2/Cd68/Slc15a3/Ifitm3/Psmb9/Cxcl10/Ifi44/Pilra/Ccl2/Tnfsf10/Tlr6/Tnf/Ifit2/Mx2/Ifi44l"
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP",115,-0.621009870936777,-1.90431878524287,4.84760452527578e-05,0.010590478736216,0.0102374846626616,1304,"tags=42%, list=9%, signal=38%","Oas1a/Cmklr1/Ffar2/Zbp1/Cmpk2/Oas2/Xaf1/Lgals9/Casp4/Fgd2/Trim12c/Tap1/Mafb/Lrrc25/C1qb/Sp110/Ube2l6/Igsf6/Herc6/Sectm1a/Dhx58/Ifitm1/Hsh2d/Csf1r/Cx3cr1/Siglece/Tnfsf13b/Alpk1/Ccr1/Oas1g/Il1rn/Usp18/Calml4/Kmo/Tlr2/Ms4a4a/Mov10/Ifitm3/Havcr2/Cxcl10/Ifi44/Clec7a/Tnfsf10/Tlr6/Ifit2/Mx2/Lst1/Ifi44l"
"GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP",174,-0.569824121532292,-1.83559650323603,4.98962484627371e-05,0.010590478736216,0.0102374846626616,1310,"tags=24%, list=9%, signal=22%","Cd47/Fcgr2b/Zbp1/Skap1/Casp4/Bach2/Myc/Sp100/Entpd1/Il4ra/Ighm/Limd2/Ikzf3/Ly86/Ifitm1/Tent5c/Rasgrp3/Gpr18/Cd55/Cd37/Adam8/Cd52/Sp140/Igkv8-27/Lat2/Eaf2/Cd79b/Tnfrsf13b/Ms4a1/Cd22/Igkc/Cd79a/Cd19/Pax5/Ciita/Igkv8-30/Pou2af1/Igkv8-21/Fcmr/Fcer2a/Vpreb3"
"GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP","GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP","GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP",162,-0.570077877951077,-1.81080539935407,6.69589647852148e-05,0.0131188064083032,0.0126815399702524,1084,"tags=27%, list=8%, signal=25%","Fgd2/Renbp/Slc10a6/Lmo2/Tifa/Abcc3/Plek/H2-Eb1/Irf5/Ly86/Spib/Lyl1/Hemk1/Btk/Pla2g2f/Clec16a/Zfp296/Pld4/Clu/Cd40/Cd79b/Napsa/H2-DMa/Tnfrsf13b/Jchain/Ms4a1/Clps/Cxcr5/Plbd1/Cr2/Cd22/Tnfrsf13c/Igkc/Cd79a/Cd19/Blk/Ltbp2/Cd74/H2-Ob/Ciita/H2-Aa/Pou2af1/Fcer2a"
"GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN","GSE7509_UNSTIM_VS_IFNA_STIM_IMMATURE_DC_DN",161,-0.559506259373986,-1.7755198719777,6.56519497997524e-05,0.0131188064083032,0.0126815399702524,1926,"tags=42%, list=14%, signal=37%","Nfkbia/Phf11d/Cxcr6/Il27ra/Gsap/Serping1/Ptpn6/Pik3cg/Cd3e/Abhd16a/Il15ra/Aim2/Cd69/Hpse/Gimap6/Irf1/Azin2/Unc93b1/Psmb10/Csf1/Mlkl/Asb13/Icam1/Isg15/Sh3bp2/Xaf1/Socs1/Casp4/Batf2/Usb1/Upp1/Stxbp1/Tgm2/Trim12c/Ido1/Gbp8/Il18bp/Parp3/Sp110/Myo1g/Phf11b/Sema7a/Adgrg5/Nckap1l/Coro1a/Gbp9/Icos/Vcam1/Slc2a6/Itgal/Usp18/Tlr2/Dok2/Psmb9/Cxcl10/Psmb8/Scn1b/Klhl6/Ifi44/Tnfsf10/Cxcl9/Ifit2/Mx2/Ciita/Pla2g4c/Gbp4/Ubd/Plscr2"
"GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN","GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN","GSE3337_CTRL_VS_16H_IFNG_IN_CD8POS_DC_DN",191,-0.55178256766948,-1.79709175552671,8.2223441732495e-05,0.0150422454166977,0.0145408683196561,3486,"tags=45%, list=25%, signal=34%","Mnt/Ndufv1/Bcl7c/Grina/Daxx/Bcl7b/Smagp/Bcl3/Uhrf1/Mars1/Tmem160/Pard6a/Vars/Sod2/Cdk2ap2/Scamp3/Rnf19b/Pola2/Nudt3/Pafah1b3/Pdap1/Mcm7/Pmf1/Adrm1/Ap1s1/Rcc2/Cdt1/Ogfr/Mfng/Psmc3ip/1110038F14Rik/Idnk/Uba7/Tomm40/Dpm3/Irgm2/Psme2/Stx2/Tspo/Dvl1/Oxct1/Septin9/Cdc20/Samhd1/Ece1/Psme1/Il12rb1/Irgm1/Glipr2/Fdps/Irf1/Noc4l/Psmb10/Cnn3/Irf8/Cmpk2/Socs1/Sparc/Upp1/Col5a2/Stxbp1/Plpp1/Tap1/Plod3/H2-Eb1/Il18bp/Ube2l6/Pfkfb3/Pim1/Cd180/Siva1/Tap2/Tnfaip2/Gbp7/Cd37/Hcls1/Map4k1/H2-DMa/Ccl2/Cxcl9/C3/Igkc/Cd79a/Cd19/Hdc/Ubd"
"GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP","GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP","GSE21774_CD62L_POS_CD56_BRIGHT_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP",171,-0.555349355689142,-1.78854984827793,8.26821499151031e-05,0.0150422454166977,0.0145408683196561,1724,"tags=36%, list=12%, signal=32%","Calcb/Tram2/Tnfaip8l1/Pik3ap1/Cd69/Pgam1/Hpse/Nsmce1/Gpatch3/Egln3/Mrc1/Cnn3/Irf8/Vsir/Marcksl1/Dram1/Laptm4b/Tnfaip8l2/Wdr91/Aplnr/Slc43a2/Ighm/Phgdh/Sh2b2/Igsf6/Ly86/B3gnt5/Pou2f2/Tyrobp/Cybb/Csf1r/Arhgdib/Ccr2/Selplg/Cd28/Tnfsf13b/Pld4/Cd163/Gpr18/Pi16/Ncf1/Sting1/Cd52/Prss16/Siglecg/Kmo/Themis2/Cxcr4/Cd86/Spi1/Btla/Tnf/Ncf4/Alpl/C3/Apobr/Gpnmb/Timp1/Sell/Lcn2/Itln1"
"GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN","GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN","GSE7218_IGM_VS_IGG_SIGNAL_THGOUGH_ANTIGEN_BCELL_DN",138,-0.59650494340804,-1.87082587476267,8.73009676371418e-05,0.0153348665221931,0.0148237359929782,2225,"tags=47%, list=16%, signal=40%","Casp7/Nr4a2/Gsdmd/Stat1/Cxcr6/Rgs16/Dbnl/Tspo/Serping1/Ptpn6/Abhd16a/Rtp4/Cd69/Psme1/Stat2/Il12rb1/Trafd1/Slc43a3/Icam1/Cd47/Socs1/Rab19/Batf2/Upp1/Adora2a/Cish/Runx3/Gbp8/Nfkbie/Il18bp/Samsn1/B2m/Parp3/Gpr171/Ube2l6/Dhx58/Ifitm1/Hsh2d/Bst2/Procr/Cd2/Cd28/Gbp9/Icos/Gbp5/Tagap/Mfsd2a/Usp18/Cd27/Runx2/Havcr2/Cd300lf/Ltb/Cxcl10/Ifi44/Il18rap/Jaml/Tnfsf10/Ifit2/Ciita/Pla2g4c/Apol6/Gbp4/Lcn2/Slpi"
"GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP",261,-0.508461198673114,-1.71370613758792,0.00010245013246962,0.0173960324933414,0.0168162006909783,2165,"tags=39%, list=16%, signal=34%","Tubg1/Myd88/Phf11d/Stab1/Rras/Stat1/Znfx1/Npc2/Uba7/Parp10/Rigi/Tmem140/Psme2/Grn/Serping1/Hmox1/Cdc20/Rtp4/Pik3ap1/Aim2/Cdca5/Sdf2l1/Eif2ak2/Parp9/Psme1/Trim26/Stat2/Abi3/Trafd1/Unc93b1/Spats2l/Fcer1g/Ripk3/Gadd45b/Isg15/Oas1a/Cenpm/Vamp5/Ffar2/Zbp1/Cmpk2/Oas2/Xaf1/Atf5/Dusp5/Lgals9/Cd38/Socs1/Casp4/Lag3/Batf2/Aldh3b1/Gna15/Pirb/Lmo2/Trim12c/Ido1/Tap1/Mafb/Nrros/Cst3/Septin4/C1qb/Sp110/Ube2l6/Tnfaip6/Herc6/C1qa/Dhx58/Ifitm1/Hsh2d/Phf11b/Bst2/Gngt2/Cybb/Csf1r/Ascl2/Cx3cr1/Cd68/Tnfsf13b/Ccr1/Cd163/Oas1g/Gbp3/Slc2a6/Gbp5/Tap2/Il1rn/Shfl/Sp140/Mov10/Ifitm3/Havcr2/Cd86/Cxcl10/Emilin2/Ifi44/Tnfsf10/Ifit2/Mx2/Cd74/Ifi44l"
