Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AW10,AW11,AW12,AW1,AW2,AW3,AW4,AW5,AW6,AW7,AW8,AW9,BW10,BW12,BW13,BW1,BW2,BW3,BW4,BW5,BW6,BW7,BW8,BW9
 Klk4,1.255693724,-3.675779314,0.859494036,-4.276678092,1.90E-05,7.52E-05,3.868949381,1.045728253,2.008582426,7.090794349,6.129755433,2.586765734,1.928099433,0,0.846488123,0.952519476,3.678966768,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ccnb1ip1,1.264637122,-3.694415759,0.767901442,-4.811054591,1.50E-06,7.74E-06,4.642739257,3.13718476,2.008582426,5.064853107,2.043251811,0,0.964049716,2.219358536,5.078928739,1.905038953,1.839483384,1.44782024,0,0,0,0,0,0,0,0,0,0,0,0
 Pira11,1.350213455,-3.768459327,0.75347435,-5.001443418,5.69E-07,3.22E-06,2.321369629,6.274369519,3.012873639,4.051882485,1.021625906,4.311276223,2.892149149,2.219358536,0.846488123,3.810077905,0.919741692,0.72391012,0,0,0,0,0,0,0,0,0,0,0,0
 Slc28a2b,1.641839901,-3.781124554,0.703128062,-5.377575945,7.55E-08,5.31E-07,3.868949381,3.13718476,4.017164852,3.038911864,3.064877717,1.724510489,2.892149149,2.219358536,4.232440616,6.667636334,2.759225076,0.72391012,0,0,0,0,0,0,0,0,1.057838718,0,0,0
 Ighv1-62-3,1.996909849,-3.816268184,0.76040548,-5.018727878,5.20E-07,2.97E-06,2.321369629,3.13718476,7.030038492,10.12970621,1.021625906,8.622552446,1.928099433,1.109679268,4.232440616,0,3.678966768,2.89564048,0,0,0,0.863684167,0,0,0,0,0,0.9548482,0,0
 Elobl,1.482961379,-3.915261814,0.748843911,-5.22840843,1.71E-07,1.10E-06,1.547579752,3.13718476,6.025747278,1.012970621,2.043251811,7.760297201,1.928099433,3.329037804,3.385952492,2.857558429,1.839483384,0.72391012,0,0,0,0,0,0,0,0,0,0,0,0
 Catspere1,1.476339232,-3.924778786,0.758617731,-5.173592211,2.30E-07,1.43E-06,1.547579752,0,1.004291213,3.038911864,4.086503622,2.586765734,6.748348015,2.219358536,3.385952492,0.952519476,5.518450153,4.34346072,0,0,0,0,0,0,0,0,0,0,0,0
 Pira6,1.505801023,-3.930695339,0.795476387,-4.941309888,7.76E-07,4.26E-06,3.868949381,9.411554279,3.012873639,4.051882485,5.108129528,0.862255245,3.856198866,1.109679268,0.846488123,0,1.839483384,2.17173036,0,0,0,0,0,0,0,0,0,0,0,0
 Aldh8a1,1.540644068,-3.97657501,0.718783129,-5.532371101,3.16E-08,2.43E-07,2.321369629,2.091456506,7.030038492,4.051882485,3.064877717,5.173531467,0.964049716,2.219358536,3.385952492,2.857558429,0.919741692,2.89564048,0,0,0,0,0,0,0,0,0,0,0,0
 Rpl31-ps21,1.849762339,-4.218052889,0.739266157,-5.705729728,1.16E-08,9.92E-08,2.321369629,2.091456506,5.021456065,5.064853107,2.043251811,3.449020978,1.928099433,11.09679268,2.539464369,0.952519476,6.438191845,1.44782024,0,0,0,0,0,0,0,0,0,0,0,0
 Cort,1.922656658,-4.275694057,0.729271391,-5.86296694,4.55E-09,4.32E-08,2.321369629,4.182913013,2.008582426,3.038911864,4.086503622,0,4.820248582,8.877434145,5.078928739,4.762597382,5.518450153,1.44782024,0,0,0,0,0,0,0,0,0,0,0,0
 Sycp1,2.330284658,-4.311020401,0.671858727,-6.416557865,1.39E-10,1.91E-09,5.416529133,1.045728253,5.021456065,4.051882485,2.043251811,5.173531467,4.820248582,4.438717072,3.385952492,6.667636334,8.277675229,4.34346072,0,0,0,0,1.240762135,0,0,0,0,0,0,0
