Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AK10,AK11,AK12,AK13,AK1,AK2,AK3,AK4,AK5,AK6,AK7,AK9,BK10,BK13,BK1,BK2,BK3,BK4,BK5,BK6,BK7,BK8,BK9
 Cort,2.877337122,-4.445885744,0.713842667,-6.228103126,4.72E-10,1.31E-08,7.249531014,2.86824312,10.7621713,1.77923923,4.909025056,2.483491078,9.81831958,2.96816682,3.682991983,3.978041853,6.118961871,7.592763406,0,0.980037725,0,0,0,0,0,0,0,0.987769765,0
 Pira11,2.394625933,-4.477459443,0.757643442,-5.909718472,3.43E-09,8.32E-08,4.142589151,2.86824312,9.106452639,7.11695692,6.13628132,6.208727696,2.454579895,0,3.682991983,2.652027902,1.223792374,8.541858832,0,0,0.941894619,0,0,0,0,0,0,0,0
 Ccnb1ip1,2.163976073,-4.577355538,0.737825109,-6.203848967,5.51E-10,1.52E-08,5.178236438,4.780405201,1.655718662,0.889619615,8.590793848,3.725236618,3.681869843,5.936333639,3.682991983,6.630069754,1.223792374,3.796381703,0,0,0,0,0,0,0,0,0,0,0
 Klk4,2.226538039,-4.648599896,0.795707973,-5.842092893,5.15E-09,1.20E-07,3.106941863,0,5.795015316,4.448098075,6.13628132,3.725236618,1.227289948,10.88327834,0.920747996,3.978041853,2.447584748,8.541858832,0,0,0,0,0,0,0,0,0,0,0
 Masp2,5.800724234,-4.668094169,0.660873018,-7.063526639,1.62E-12,6.20E-11,15.53470932,15.29729664,12.41788996,6.227337305,7.363537584,7.450473235,9.81831958,2.96816682,13.81121994,17.23818136,8.566546619,12.33824053,0,0.980037725,0,0,0.719288984,0.95535399,0.75844036,0,0.971617425,0,0
 Defa35,3.091697627,-5.087496733,0.792004985,-6.423566556,1.33E-10,3.96E-09,6.213883726,0.95608104,1.655718662,4.448098075,3.681768792,16.14269201,9.81831958,0,6.445235971,10.60811161,7.342754245,3.796381703,0,0,0,0,0,0,0,0,0,0,0
 Ighv7-2,3.10410193,-5.118522301,1.201950019,-4.258515096,2.06E-05,0.000227235,1.035647288,0.95608104,0.827859331,0,3.681768792,8.692218775,19.63663916,17.80900092,7.365983967,0,0,11.38914511,0,0,0,0,0,0,0,0,0,0,0
 Defa17,4.292599448,-5.571197377,0.750536054,-7.422957691,1.15E-13,4.97E-12,5.178236438,5.736486241,0.827859331,11.565055,6.13628132,3.725236618,23.318509,8.904500459,8.286731963,14.58615346,8.566546619,1.898190852,0,0,0,0,0,0,0,0,0,0,0
 Cxcr2,5.979723927,-5.795012359,1.395118103,-4.153779058,3.27E-05,0.000336733,8.285178302,0.95608104,29.80293591,0,15.95433143,2.483491078,0,2.96816682,0,10.60811161,0,65.48758438,0,0,0,0,0,0,0,0,0,0.987769765,0
 Defa40,5.289282559,-5.875297896,0.745260525,-7.88354904,3.18E-15,1.65E-13,9.320825589,11.47297248,1.655718662,8.89619615,4.909025056,12.41745539,14.72747937,16.81961198,8.286731963,17.23818136,15.90930086,0,0,0,0,0,0,0,0,0,0,0,0
 S100a8,9.592566583,-6.481675359,1.661701201,-3.900626271,9.59E-05,0.000856764,11.39212016,0,62.91730914,0,17.1815877,4.966982157,1.227289948,0,0,9.282097656,0,112.9423557,0,0,0,0,0.719288984,0,0,0,0,0,0
 C1rb,8.186159292,-6.526776037,0.672091912,-9.711136118,2.70E-22,2.25E-20,8.285178302,13.38513456,16.55718662,17.7923923,18.40884396,14.90094647,6.136449738,12.86205622,12.89047194,15.91216741,12.23792374,38.91291246,0,0,0,0,0,0,0,0,0,0,0
 Ifi202b,10.24006049,-6.844479827,0.653787049,-10.46897433,1.20E-25,1.20E-23,22.78424033,10.51689144,24.00792059,16.90277269,18.40884396,27.31840186,15.95476932,15.83022304,12.89047194,14.58615346,18.35688561,37.96381703,0,0,0,0,0,0,0,0,0,0,0
 Defa30,21.87133111,-7.933495561,0.771264688,-10.28634616,8.12E-25,7.84E-23,64.21013184,55.45270033,7.450733977,25.79896884,31.90866287,27.31840186,95.72861591,23.74533456,42.35440781,57.01859989,67.30858058,4.745477129,0,0,0,0,0,0,0,0,0,0,0
 Ifi44l,32.14433129,-8.223243399,0.685141573,-12.00225431,3.46E-33,5.02E-31,34.17636049,25.81418808,14.90146795,44.48098075,85.90793848,83.19695113,31.90953864,93.00256035,53.40338376,78.2348231,138.2885383,55.04753469,0,0,0,0,0,0.95535399,0,0,0,0,0
 Mptx2,258.0267345,-11.23442738,0.643325337,-17.46305756,2.74E-68,1.12E-65,666.9568533,584.1655155,240.9070653,413.673121,365.7223667,397.3585726,347.3230552,813.2777086,388.5556542,375.2619481,779.5557423,560.9153966,0,0,0.941894619,0,0,0,0,0,0,0,0
