"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"SNF5_DN.V1_UP","SNF5_DN.V1_UP","SNF5_DN.V1_UP",150,-0.433030986313438,-1.72922580210831,0.000478923522815232,0.0329333594869759,0.0278075087140242,2534,"tags=31%, list=18%, signal=26%","Lcp1/Ddx3x/Dtl/Cxcl10/Fnbp1/Slc6a6/Tmem267/C1qc/Egr2/Ddx3y/Rbl1/Nrros/Lmo2/Evi2a/Fcgr1/Was/Pld4/Anpep/Gbp8/Cd68/C1qtnf3/Dennd4c/Itgb2/Spi1/Ncapg2/Chd9/C3ar1/Plek/Ripor2/Cd53/Kcnj10/Csf1r/Col15a1/Ptprc/Ms4a4a/Enpp3/Fndc1/Abi3bp/Cxcr4/Ifit2/Cx3cr1/Cd93/Gbp9/Gbp4/Dlk1/C1rb/Ifi44l"
"CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_KE_.V1_UP",159,0.388596615899736,1.66762304314617,0.000319276013054779,0.0329333594869759,0.0278075087140242,2784,"tags=28%, list=20%, signal=23%","Hba-a2/Gchfr/St3gal4/Hspa1a/Hspa1b/Dap/Crip1/Hsph1/Cgref1/Nek3/Id1/Arl3/Ccl9/Kifc1/Epha2/Cox7a1/Asns/Entrep1/Slc35d1/Glb1/Reep5/Nrg1/Snrpc/Cdr2/Mmp15/Plk3/Eif5a/Rassf7/Snx17/Cckar/Evx1/Mall/Hsd17b10/Thop1/Cdkn1a/Kif22/Pfkl/Hgfac/Mphosph6/Snrpb2/Ppid/Rras/Cebpd/Polr2c/Pigc"
"AKT_UP.V1_UP","AKT_UP.V1_UP","AKT_UP.V1_UP",146,0.389050733660111,1.65234433367875,0.000592521205920876,0.0329333594869759,0.0278075087140242,3008,"tags=35%, list=22%, signal=28%","Vill/Sprr1a/Crlf1/S100a14/Gch1/Ak4/Arg1/H4c8/Gpx2/Pon2/Ifit3/Comtd1/Metrnl/Tnfrsf12a/Ube2c/Kcne3/Ifit1bl1/Jpt1/Gde1/Pdk3/Fabp5/Acot9/Sphk1/Msmo1/Fdft1/Asb11/BC016579/Plat/Mmp15/Plscr1/Bid/Traf4/Rundc3a/Nfil3/Mal2/Hck/Cyp51/Dusp10/Gpx8/Bpgm/Atf3/Tprn/Pdzd11/Fam3b/Sec14l2/Micu1/Bace2/Cdkn2b/Card19/Krt23/Ripk3"
"CYCLIN_D1_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CYCLIN_D1_UP.V1_UP",142,0.383974879084303,1.62116568705517,0.000704456887421945,0.0329333594869759,0.0278075087140242,2537,"tags=27%, list=18%, signal=23%","Hba-a2/Gchfr/St3gal4/Hspa1a/Hspa1b/Cgref1/Nek3/Id1/Ccl9/Smox/Ptms/Tagln/Epha2/Gadd45a/Myl6/Ubxn1/Hnrnpa0/Entrep1/Ndufb7/Gnl1/Hagh/Glb1/Nkg7/Gtf2h4/Reep5/Snrpc/Mmp15/Plk3/Eif5a/Naa80/Rassf7/Cckar/Evx1/Mall/Hsd17b10/Car9/Kif22/Rabepk/Itgb1bp1"
"KRAS.KIDNEY_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP",98,-0.458650400962324,-1.73856708376944,0.00108154147010688,0.0337080424849978,0.0284616176343917,1819,"tags=34%, list=13%, signal=29%","Serpini1/Mpzl2/Peli2/Satb1/Mafb/Rcan2/Cp/Syt1/Cpeb3/Plcb1/Dnm3/Fgf9/Tril/Scn1b/Etv1/Sorbs1/Esrrg/Slc1a3/Chgb/Sfrp1/Mef2c/Nrcam/Gprc5b/Adcy1/Reln/Peg3/Plscr4/Slc12a5/Ank2/Scg5/Gatm/Gpnmb/Crym"
"RB_P107_DN.V1_DN","RB_P107_DN.V1_DN","RB_P107_DN.V1_DN",120,0.399153161930877,1.65064133366486,0.00101440126827787,0.0337080424849978,0.0284616176343917,3670,"tags=45%, list=26%, signal=33%","Lpar3/Hsph1/H2bc4/Ppa2/S100a16/2610528A11Rik/Rbm8a/Dynll1/Pomp/Nmi/Mtres1/Dad1/Guca2a/Acp5/Txn2/Higd2a/Bccip/Ctsl/Pinx1/Aimp1/Plk3/Pgd/Slirp/Pafah1b3/Rars/Elovl1/Arpc1b/Nucb2/Arl1/Ddit4/Mogs/Tars/Anxa1/Anxa4/Bin3/Chac1/Sytl1/Glrx/Tprgl/Pmm2/Ube2g2/Blcap/Sigmar1/Nme7/Sri/Efl1/Lpcat3/Por/Sar1b/Uros/Polr1e/Nars/Nrbp1/Coasy"
"KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.50_UP.V1_UP",31,-0.599134098707998,-1.85756913934945,0.00210101129606788,0.0491111390455868,0.0414673282118661,1355,"tags=39%, list=10%, signal=35%","Fgf9/Rreb1/Etv1/Itgb2/Chgb/Adam8/Nrcam/Hsd11b1/Reln/Peg3/Dock4/Scg5"
"BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP",114,-0.42254892808679,-1.63213625799267,0.00208088831228037,0.0491111390455868,0.0414673282118661,2293,"tags=32%, list=17%, signal=27%","Micall1/Ccnd1/Kif21b/Slc6a9/Pik3cg/Sik1/Klf7/Gab2/Nav2/Rreb1/Vldlr/Podxl/Trio/C3ar1/Pappa/Gfpt2/Adrb2/Grem1/Lsamp/Csf1/Timp3/Kmt2a/Tnfaip6/Kcnn3/Slc7a11/Adam19/Slc22a4/Il7r/Itga4/Zeb2/Mmp7/Inhba/Piezo1/Abca1/Hapln1/Chst3"
