"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9"
"549","ENSMUSG00000041202",8.98696274876395,-2.30927988012463,0.386335278306219,-5.97739841478892,2.26729221194187e-09,1.87220505891934e-08,9.29288929538393,6.27839414192238,14.069505555682,17.2234742258691,32.7284900380954,6.89841997479413,24.1472834480128,10.0003977871971,22.8783762969309,19.095284262012,10.1253910911271,6.51709077113002,0,2.56909725271169,0,1.72736833393651,3.72228640594251,3.21229774483624,4.83674046290406,8.2388880152919,3.17519315950147,0.954343517871924,4.59408980759726,3.40180438158421
"550","ENSMUSG00000041324",6.21602303308812,-1.34066000522141,0.357215365405524,-3.75308605132214,0.00017467086122115,0.000458291886589709,10.8417041779479,4.18559609461492,13.0645408731332,12.1577465123782,5.11382656845241,5.1738149810956,9.65891337920511,12.2227084065743,10.1681672430804,11.4571705572072,11.0458811903205,2.8964847871689,6.26046347982199,2.56909725271169,1.0878072706244,5.18210500180953,4.96304854125668,1.07076591494541,8.06123410484009,1.17698400218456,3.17519315950147,1.90868703574385,5.74261225949657,0
"551","ENSMUSG00000041453",2714.57181066617,1.65799185772465,0.130929988979904,12.6631940523506,9.45717636154311e-37,1.05676319085114e-34,1237.50309116863,1477.51542139907,1046.16823453321,1429.54836074714,1430.84867385298,1211.53500807322,1368.66802583336,1204.49235570241,1269.32621084454,1345.26277625875,1187.43222795945,1467.06954470105,4793.4282043837,6520.36882738226,4795.05444891236,3470.28298287845,4801.74946366583,5157.87941229206,2295.83947305846,5118.70342550064,3431.32540770126,3314.43503756919,2601.40335355195,3173.88348801807
"552","ENSMUSG00000041538",21.1968704351119,-1.9911957085783,0.354832371138811,-5.6116517841585,2.00404396241641e-08,1.31651649194152e-07,15.4881488256399,14.6495863311522,28.1390111113639,67.8807513607783,93.0716435458338,12.934537452739,35.7379795030589,20.0007955743942,60.1616561882258,34.3715116716216,11.9663712895139,12.3100603454678,6.26046347982199,10.2763890108467,2.1756145412488,6.04578916877779,6.20381067657084,11.7784250643996,9.67348092580811,14.1238080262147,13.7591703578397,11.4521222144631,4.59408980759726,5.66967396930702
"553","ENSMUSG00000041540",8.54476170845435,-1.26701612874305,0.309639544952757,-4.09190670053581,4.27840794264145e-05,0.000129041402815063,10.8417041779479,6.27839414192238,11.0546115080358,14.1840375977746,10.2276531369048,15.5214449432868,20.2837180963307,10.0003977871971,11.0155145133371,21.0048126882132,6.44343069435362,9.41357555829892,4.17364231988132,1.28454862635584,8.70245816499521,6.04578916877779,7.44457281188501,3.21229774483624,11.2857277467761,0,6.35038631900295,5.72606110723154,3.44556735569794,1.1339347938614
"554","ENSMUSG00000041633",21.3283617094927,-1.4036041136016,0.213558614425131,-6.57245373772392,4.94927676986507e-11,5.9220361764465e-10,33.2995199751258,30.3455716859582,32.1588698415588,28.3680751955491,22.5008369011906,44.8397298361618,29.9426314755358,35.5569699100342,36.4359326210382,35.3262758847222,25.7737227774145,18.8271511165978,15.651158699555,8.9918403844909,3.2634218118732,6.90947333574604,6.20381067657084,7.4953614046179,23.3775789040363,8.2388880152919,10.5839771983382,18.1325268395666,13.7822694227918,15.8750871140596
"555","ENSMUSG00000041734",72.1195902229149,-1.10721091759642,0.165167925460419,-6.70354679644963,2.03420509018422e-11,2.6268355759173e-10,94.4777078364033,134.985474051331,101.50143293742,73.9596246169674,86.9350516636909,94.8532746534193,103.350373157495,94.4482013235283,90.6661579174671,89.7478360314565,138.994004978199,81.1015740407292,32.3457279790803,37.2519101643194,32.634218118732,43.1842083484128,18.6114320297125,34.2645092782533,84.642958100821,41.1944400764595,65.6206586296971,41.9911147863646,56.2776001430664,57.8306744869316
"556","ENSMUSG00000041797",24.1185518812576,-1.68572716792357,0.269327826896198,-6.25901596337192,3.87414218989999e-10,3.87023173635575e-09,30.9762976512798,38.716763875188,42.2085166670459,30.3943662809455,32.7284900380954,28.4559823960258,53.1240235856281,53.3354548650513,44.0620580533485,35.3262758847222,26.6942128766078,27.5166054781045,8.34728463976265,12.8454862635584,4.3512290824976,6.90947333574604,4.96304854125668,2.14153182989083,34.6633066508124,7.06190401310734,7.40878403883677,12.406465732335,14.9307918746911,19.2768914956439
"557","ENSMUSG00000041828",78.1804247669749,-1.2404708011971,0.192992708907738,-6.42755266879079,1.29674673045486e-10,1.42262254134462e-09,109.191449220761,127.660680885755,107.531221032712,81.0516434158547,72.6163372720242,142.279911980129,117.838743226302,143.339034949825,150.827814105693,100.250242375563,85.6055792249838,82.5498164343136,33.3891385590506,28.2600697798285,32.634218118732,46.6389450162858,42.1859126006817,29.9814456184716,91.091945384693,16.4777760305838,52.9198859916912,49.62586292934,66.6143022101602,65.7682180439614
"558","ENSMUSG00000041845",105.346834347867,1.62240610687171,0.162239738474158,10.0000537607507,1.52314349238674e-23,7.53738436803951e-22,50.3364836833296,49.1807541117253,64.3177396831175,50.6572771349092,70.5708066446432,37.0790073645184,38.6356535168204,52.2242995553627,53.3828780261722,45.8286822288289,47.8654851580555,59.3779381369624,177.379798594956,222.226912359561,172.96135602928,183.10104339727,158.817553320214,273.045308311081,72.5511069435608,145.946016270885,141.825294457733,125.019000841222,99.9214533152403,136.072175263368
"559","ENSMUSG00000041921",81.8953022977968,1.40285200703633,0.101547631774094,13.8147190882516,2.07763118685564e-43,3.16347887088701e-41,44.1412241530737,36.6239658278806,48.2383047623381,37.4863850798328,47.0472044297621,56.0496622952023,57.9534802752307,53.3354548650513,47.4514471343753,35.3262758847222,41.4220544637018,34.0336962492346,106.427879156974,122.032119503805,118.57099249806,95.0052583665081,126.557737802045,102.79352783476,118.500141341149,151.830936281808,115.365351461887,112.612535108887,121.743379901327,134.938240469507
