"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","Symbol","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9","Entrez"
"25809","ENSMUSG00000094652 - Ighv1-42",21.979361025065,7.9451573170541,0.683476085628327,11.6246310355541,3.08925187096743e-31,2.0399027677001e-29,"ENSMUSG00000094652"," Ighv1-42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07888108835,37.532529753272,415.554669650405,1.77476133803701,18.9101125221566,45.976201178483,10.7104022360311,20.217830700199,18.6640710126548,6.94622585516764,13.7065630140703,10.3597825723509,14.0328382397394,53.9816675157266,144.159534682067,18.4894798220959,64.1518771052459,7.18687322308202,4.68338987258197,58.6676253725163,12.3337464316715,35.1850656947508,6.7258392974016,"629906"
"13721","ENSMUSG00000047104 - Pbp2",24.6111646623187,7.74549934978027,0.446139147136292,17.3611739734063,1.62369111057277e-67,3.05237360511042e-65,"ENSMUSG00000047104"," Pbp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00445299695482,0,0,0,0,0.84024637080221,0,0,0,49.0458040813125,54.3233983271042,33.1307823183695,30.1709427466292,35.6382889840643,22.0302630646898,84.9181891571038,57.4612030426708,106.090508914038,67.4776225930571,77.3441770079678,40.4031520321686,29.3413890467278,58.3002009169847,70.3635824043424,45.6073835611699,66.2902730087541,32.7402002384848,39.8088139169467,37.714902025189,50.2837354521992,30.6450572180087,34.7501697032416,"76400"
"29436","ENSMUSG00000107768 - Gm36582",18.1644585282068,7.55460619914408,0.460671745772303,16.3991090586183,1.94063217058554e-60,3.13616372620153e-58,"ENSMUSG00000107768"," Gm36582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858744637033187,0,0,0,0,0,0,44.6861770518625,43.4587186616833,38.8103450015185,39.9321301058328,46.5479692853085,24.903775638345,75.7378443833628,44.6920468109662,82.5148402664737,56.5621248206508,45.0358499033737,14.5036956012913,16.5842633742374,21.5926670062906,42.0465309489363,13.558951869537,22.4531569868361,45.5168637461861,15.2210170858914,16.7621786778618,40.7962381970673,34.0500635755652,26.9033571896064,"102640545"
"18795","ENSMUSG00000069917 - Hba-a2",14.6227351347045,7.3526757329265,0.500893105462525,14.679131440903,8.77067000714299e-49,1.04246486155868e-46,"ENSMUSG00000069917"," Hba-a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4385081178,10.8646796654208,15.1455004883975,29.2835620776107,10.9096803012442,36.3978259329658,24.4809193966425,19.1537343475569,13.7524733777456,11.907815751716,30.3502466740127,14.5036956012913,47.2013649882143,73.4150678213882,15.4456644302215,44.3747515730302,140.064931679787,23.1577026077087,35.1254240443648,14.6669063431291,24.667492863343,17.0250317877826,17.9355714597376,"110257"
"24913","ENSMUSG00000091618 - H60c",8.71094301760582,6.61613276353594,0.490416558986116,13.4908429218093,1.7706452341774e-41,1.74441695985295e-39,"ENSMUSG00000091618"," H60c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5063635371375,10.8646796654208,33.1307823183695,30.1709427466292,27.6378567631519,14.367562868276,28.3060630523679,14.8973489369887,31.4342248634185,13.8924517103353,7.83232172232586,7.25184780064565,8.92998797074324,12.9556002037744,36.0398836705168,14.7915838576767,20.3147610833279,14.373746446164,3.51254240443648,6.28581700419817,2.84624917653958,13.6200254302261,13.4516785948032,"670558"
"3192","ENSMUSG00000021622 - Ckmt2",3.70947591660672,5.24713967370272,0.471468316475986,11.1293579872402,9.0283408146646e-29,5.47135272462388e-27,"ENSMUSG00000021622"," Ckmt2",1.04328673731313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4495337868125,10.8646796654208,7.57275024419873,1.77476133803701,4.36387212049767,6.70486267186211,7.65028731145079,6.38457811585231,9.82319526981829,2.97695393792899,1.95808043058146,5.17989128617546,2.55142513449807,7.55743345220172,10.2971096201477,16.0242158458164,13.8995733728033,11.97812203847,7.02508480887295,13.6192701757627,9.48749725513192,5.67501059592754,4.4838928649344,"76722"
"26178","ENSMUSG00000095620 - Csta2",2.93494361906737,5.02696536344592,0.495228287253904,10.1508041701757,3.28644073254471e-24,1.54849354515783e-22,"ENSMUSG00000095620"," Csta2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.179813514725,3.95079260560758,2.83978134157452,4.43690334509253,8.00043222091239,4.78918762275865,1.53005746229016,5.32048176321026,11.787834323782,2.97695393792899,2.9371206458722,6.21586954341056,2.55142513449807,14.0352335540889,1.71618493669128,11.0936878932575,10.691979517541,2.39562440769401,4.68338987258197,4.19054466946545,10.4362469806451,10.2150190726696,8.9677857298688,"76770"
"23529","ENSMUSG00000087175 - Gm15133",3.46519075831521,5.00993907299179,0.471060914101283,10.6354378447,2.03868908152195e-26,1.08865996953272e-24,"ENSMUSG00000087175"," Gm15133",0,0,0.83644692826257,0,0,1.24991624105387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.539440544175,5.92618890841137,2.83978134157452,5.32428401411103,4.36387212049767,3.83135009820692,6.88525858030571,9.57686717377847,4.91159763490915,2.97695393792899,1.95808043058146,15.5396738585264,5.10285026899614,8.63706680251626,8.58092468345638,9.86105590511781,13.8995733728033,6.38833175385068,12.8793221496004,6.28581700419817,9.48749725513192,1.13500211918551,7.8468125136352,"622070"
"8405","ENSMUSG00000031594 - Fgl1",2.51479343482799,4.80229298641022,0.479264380502339,10.0201333163477,1.24335118156005e-23,5.74091699696262e-22,"ENSMUSG00000031594"," Fgl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0899067573625,6.91388705981326,5.67956268314905,3.54952267607402,1.45462404016589,2.87351257365519,2.29508619343524,4.25638541056821,3.92927810792732,3.96927191723865,3.91616086116293,6.21586954341056,6.37856283624517,16.194500254718,6.86473974676511,6.16315994069863,7.48438566227869,6.38833175385068,5.85423734072746,3.14290850209909,5.69249835307915,3.40500635755653,4.4838928649344,"234199"
