"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Ensembl","Symbol","AK10","AK11","AK12","AK13","AK1","AK2","AK3","AK4","AK5","AK6","AK7","AK9","AW10","AW11","AW12","AW1","AW2","AW3","AW4","AW5","AW6","AW7","AW8","AW9","BK10","BK13","BK1","BK2","BK3","BK4","BK5","BK6","BK7","BK8","BK9","BW10","BW12","BW13","BW1","BW2","BW3","BW4","BW5","BW6","BW7","BW8","BW9","Entrez"
"18216","ENSMUSG00000066258 - Trim12a",118.156916256324,9.52646567674342,0.429208899411646,22.1954057565027,3.804027673891e-109,1.37414905560968e-106,"ENSMUSG00000066258"," Trim12a",0,0,0.83644692826257,0,1.23991209390828,2.49983248210774,0,0,0.92870589943269,0,0,0,0,0,1.99707515329746,0,0,0,0,0,0,0,0,0,184.194241994263,216.305895157015,247.060976716984,213.85874123346,247.286086828201,211.682092925932,137.705171606114,225.588426760115,271.120189446985,178.617236275739,218.325968009833,391.599781234865,399.298033548948,316.332571642158,199.077452656188,172.568478339562,270.507081793787,236.368274892475,195.531527180297,217.908322812203,291.26616573255,209.975392049319,293.694982653203,"76681"
"25809","ENSMUSG00000094652 - Ighv1-42",21.979361025065,7.9451573170541,0.683476085628327,11.6246310355541,3.08925187096743e-31,2.0399027677001e-29,"ENSMUSG00000094652"," Ighv1-42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.07888108835,37.532529753272,415.554669650405,1.77476133803701,18.9101125221566,45.976201178483,10.7104022360311,20.217830700199,18.6640710126548,6.94622585516764,13.7065630140703,10.3597825723509,14.0328382397394,53.9816675157266,144.159534682067,18.4894798220959,64.1518771052459,7.18687322308202,4.68338987258197,58.6676253725163,12.3337464316715,35.1850656947508,6.7258392974016,"629906"
"13721","ENSMUSG00000047104 - Pbp2",24.6111646623187,7.74549934978027,0.446139147136292,17.3611739734063,1.62369111057277e-67,3.05237360511042e-65,"ENSMUSG00000047104"," Pbp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00445299695482,0,0,0,0,0.84024637080221,0,0,0,49.0458040813125,54.3233983271042,33.1307823183695,30.1709427466292,35.6382889840643,22.0302630646898,84.9181891571038,57.4612030426708,106.090508914038,67.4776225930571,77.3441770079678,40.4031520321686,29.3413890467278,58.3002009169847,70.3635824043424,45.6073835611699,66.2902730087541,32.7402002384848,39.8088139169467,37.714902025189,50.2837354521992,30.6450572180087,34.7501697032416,"76400"
"29436","ENSMUSG00000107768 - Gm36582",18.1644585282068,7.55460619914408,0.460671745772303,16.3991090586183,1.94063217058554e-60,3.13616372620153e-58,"ENSMUSG00000107768"," Gm36582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858744637033187,0,0,0,0,0,0,44.6861770518625,43.4587186616833,38.8103450015185,39.9321301058328,46.5479692853085,24.903775638345,75.7378443833628,44.6920468109662,82.5148402664737,56.5621248206508,45.0358499033737,14.5036956012913,16.5842633742374,21.5926670062906,42.0465309489363,13.558951869537,22.4531569868361,45.5168637461861,15.2210170858914,16.7621786778618,40.7962381970673,34.0500635755652,26.9033571896064,"102640545"
"18795","ENSMUSG00000069917 - Hba-a2",14.6227351347045,7.3526757329265,0.500893105462525,14.679131440903,8.77067000714299e-49,1.04246486155868e-46,"ENSMUSG00000069917"," Hba-a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4385081178,10.8646796654208,15.1455004883975,29.2835620776107,10.9096803012442,36.3978259329658,24.4809193966425,19.1537343475569,13.7524733777456,11.907815751716,30.3502466740127,14.5036956012913,47.2013649882143,73.4150678213882,15.4456644302215,44.3747515730302,140.064931679787,23.1577026077087,35.1254240443648,14.6669063431291,24.667492863343,17.0250317877826,17.9355714597376,"110257"
"26100","ENSMUSG00000095416 - Ighv1-12",34.9376355318043,7.07238097937507,0.586937535114058,12.0496314450237,1.94819061728264e-33,1.42426649770628e-31,"ENSMUSG00000095416"," Ighv1-12",0,0,5.85512849783799,0.894793625695418,0,0,0,0,0,5.34189190060733,0,0.965140089398933,0,0,0,0,0,0,0,0,0,0,0,0,16.3486013604375,9.87698151401894,17.0386880494471,297.272524121199,105.460242912027,144.633466207311,61.9673272227514,87.2559009166483,71.7093254696735,65.4929866344377,68.5328150703513,9.32380431511583,15.3085508069884,18.353766955347,64.3569351259229,16.0242158458164,41.6987201184098,81.4512298615962,106.54711960124,41.9054466946545,205.878690436363,60.1551123168319,22.419464324672,"629860"
"11214","ENSMUSG00000038793 - Lefty1",17.6802360888713,6.76271141448807,0.42804253156423,15.7991575972008,3.15301771777422e-56,4.46831118573496e-54,"ENSMUSG00000038793"," Lefty1",0,0,0,0,0,0,0,0,0,0,1.23165856967431,0,0,0,0.998537576648728,0,1.00911326506258,1.71748927406637,0.959116192375538,0,0.84024637080221,0,0,0,34.8770162356,31.6063408448606,31.2375947573198,21.2971360564441,20.3647365623225,41.1870135557244,29.071091783513,36.1792759898298,30.4519053364367,30.7618573585995,40.14064882692,35.2232607459932,48.4770775554633,36.7075339106941,36.8979761388625,49.3052795255891,35.2835324078852,23.1577026077087,49.1755936621107,39.8101743599218,41.7449879225804,44.2650826482348,36.9921161357088,"13590"
"24819","ENSMUSG00000091189 - Ear-ps3",9.28899921048866,6.69377949369955,0.50066025442289,13.3699039110174,9.06578877385475e-41,8.69890763441282e-39,"ENSMUSG00000091189"," Ear-ps3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7192540589,16.7908685738322,13.2523129273478,7.09904535214805,0,2.87351257365519,12.2404596983213,12.7691562317046,11.787834323782,15.8770876689546,10.7694423681981,32.1153259742879,31.8928141812259,17.2741336050325,23.1684966453322,27.117903739074,31.0067406008689,15.9708293846267,43.3213563213832,29.3338126862581,18.9749945102638,34.0500635755652,20.1775178922048,"497107"
"25528","ENSMUSG00000093896 - Ighv1-76",42.2440494722828,6.65738698652298,0.565504611717146,11.7724716095735,5.41154216353756e-32,3.72003139100196e-30,"ENSMUSG00000093896"," Ighv1-76",1.04328673731313,0,0.83644692826257,0,1.23991209390828,0,0,2.97833013808124,0,0,0,2.8954202681968,0,0,0,0,0,3.43497854813275,2.87734857712661,1.1079039250298,1.68049274160442,0.94740148574799,0.916355279526562,0,168.935547391187,48.3972094186928,723.197648320979,16.8602327113516,34.9109769639814,68.0064642431729,39.7814940195441,17.0255416422728,323.183124377022,11.907815751716,24.4760053822683,20.7195651447019,88.0241671401834,44.2649673628958,37.7560686072081,20.9547437983754,101.573805416639,23.9562440769401,10.5376272133094,36.6672658578227,13.2824961571847,23.8350445028957,67.258392974016,"100775174"
"24913","ENSMUSG00000091618 - H60c",8.71094301760582,6.61613276353594,0.490416558986116,13.4908429218093,1.7706452341774e-41,1.74441695985295e-39,"ENSMUSG00000091618"," H60c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5063635371375,10.8646796654208,33.1307823183695,30.1709427466292,27.6378567631519,14.367562868276,28.3060630523679,14.8973489369887,31.4342248634185,13.8924517103353,7.83232172232586,7.25184780064565,8.92998797074324,12.9556002037744,36.0398836705168,14.7915838576767,20.3147610833279,14.373746446164,3.51254240443648,6.28581700419817,2.84624917653958,13.6200254302261,13.4516785948032,"670558"
