"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN","GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN","GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN",153,0.366063663742826,1.59429251988366,0.00279445158430198,0.034048186408732,0.0278319214704466,2044,"tags=34%, list=15%, signal=29%","Ppfia4/S100a11/Crip1/Il18r1/S100a10/Rpl38/Fkbp2/Cox20/S100a13/Anxa9/Gmfg/H2-Q7/H2-Q10/Rhoc/Lamtor2/Pomp/Rpl37/Ndufs5/Snrpd1/Cox6c/Pfdn5/Nedd8/Acot7/Uqcr10/Sec61g/Btf3/Sdcbp2/Rpl11/Sub1/Ntrk2/Ndufa7/Dbndd2/Dynlrb1/Dnajc15/Rpl17/Tafa3/Mpst/Pla2g12a/Atp5l/Plcd1/Apip/1700029I15Rik/Rpl32/Plaat3/Mrpl20/Zbtb8os/Arl4d/Hnrnpab/Dtd2/Atp5g2/Commd6/Ube2n"
"GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP","GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP","GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP",178,0.346001450250909,1.54896498983929,0.00282655827271045,0.0343571868327311,0.0280845068925256,3518,"tags=38%, list=25%, signal=28%","Pnp2/Ndufaf2/Fam241a/Alg8/Lrfn4/Bloc1s4/Galnt18/Gpatch4/Tnfrsf12a/Nme1/Dnaja1/Mrpl41/Aunip/Tmem97/Mrps6/Imp3/Ankrd37/Npm3/Tubb4b/Bcl2l1/Nceh1/Gar1/Bccip/Utp3/Ggct/Timm17a/Nudc/Tomm5/Sphk1/Jakmip1/Atg101/Plk3/Rad1/Mcrip2/Gpr157/Pitpna/Ddx47/U2af1/Slc1a5/Tmem70/Drg1/Srprb/Nudcd1/Ifngr1/Dusp7/Mrto4/Snrpb2/Ncaph2/Nmd3/Mrpl39/Sdf4/Rras2/Enoph1/Nifk/Ube2g2/Polr3k/Tfam/Gfod2/Eif3b/Dcaf13/Cdc123/Pde9a/Eif2s1/Ddx28/Slc2a1/Nab2/Trib1"
"GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN","GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN","GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN",172,0.343371659248274,1.53420839477456,0.00283771639809952,0.0344106895607639,0.0281282414899338,3969,"tags=40%, list=29%, signal=29%","Acy1/Dhrs7b/Galr2/Ybx3/Hilpda/Stip1/5730409E04Rik/Pemt/Timm13/Tmem97/Pcbd1/Eif4ebp1/Npm3/Hpdl/Wrap53/Bcl2l1/Timm50/Vps37c/Aurka/Alyref/Nudc/Pinx1/Pclaf/Rrp9/Snrpc/Slc3a2/Pold2/Exosc4/Tomm40/Mfsd2a/Slc1a5/Thop1/Rrp1/Gramd4/Tomm34/Phgdh/Sdc4/Ube2t/Mrps34/Cd320/Rfc2/D030056L22Rik/Polr2d/Rbbp8/Orc6/Knstrn/Amd1/Got1/Gfod1/Ntmt1/Timm8a1/Trip6/Fxn/Cdca7/Slc25a19/Med27/Mapk13/Oip5/Mrpl4/Nudt4/Cdc20/Timm44/Mettl1/Ppan/Coprs/Mrrf/Pa2g4/Rfc3"
"GSE10325_BCELL_VS_LUPUS_BCELL_DN","GSE10325_BCELL_VS_LUPUS_BCELL_DN","GSE10325_BCELL_VS_LUPUS_BCELL_DN",187,0.349606325743378,1.58040348695093,0.00287595093079177,0.0347914919014786,0.0284395197681747,2175,"tags=29%, list=16%, signal=25%","Rec8/H2-T23/Isg15/Atox1/Atp5k/Etfb/Apol9a/Ifit3/Lgals3/Dynlt1b/Ggh/H2-Q7/H2-Q10/Isg20/Pomp/Atp5j2/Ifit1bl1/Pdia5/Iglv3/Cox5a/Srsf9/Nmi/Psme2/Mrps14/Ifi35/Ifi27l2b/Blmh/Bud31/Erh/Irf7/Oasl1/Psma5/Sec11a/Tmem258/Nkg7/Cycs/Ddost/Vapa/Ascc1/Apol7a/Ifi27/Kdelr2/Psme1/Ier3ip1/Mrpl42/Rsad2/Myl6b/Mill2/Plscr1/Bid/Psma6/Blvra/2210016L21Rik/Atg3"
"GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN","GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN","GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN",153,0.364116428224654,1.58581185564801,0.00290511938717276,0.0350610735518267,0.0286598832034628,2431,"tags=33%, list=18%, signal=27%","H2-T23/Ubc/Cmtm8/Cpn1/Scand1/Cnbd2/Fkbp2/Rmdn3/Taf10/Lamtor4/Spsb2/Ndufb10/Ndufc1/Fam104a/Gadd45a/Rpl39/Pgp/Pfdn5/Cdc26/Hspb2/Mpc1/Acot7/Psmd4/Snx20/Mpnd/Gnl1/Cuedc2/Sdf2l1/Zfp428/Aqp4/Aig1/Mrpl23/Rps25/Zfyve19/Mecr/Sra1/Hes2/Foxa2/Cldn3/Rpp21/Trmt1/Mrps26/Hpd/Tinagl1/Cdkn1a/Vil1/Proz/Cndp2/Fbxl15/Mdfi"
"GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN","GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN","GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN",194,0.344921893585163,1.56372513268244,0.00294263393527524,0.0353463080951812,0.0288930417428341,4323,"tags=48%, list=31%, signal=34%","Mns1/Dap/Psmb5/Crip1/Anp32a/H2bc4/Gstk1/Tuba1c/Creld2/Kifc1/Znhit1/Lamtor2/Cnih1/Cmas/Cstb/Ubxn1/Nrgn/Tst/Emg1/Psmd4/Pdk3/Tbcb/Dctpp1/Rpl36al/Fdps/Txn2/Gtf2e2/Ppih/Dnajc15/Gcdh/Uchl3/Yipf1/Psma2/Reep5/Tex30/Eci1/Cct7/Psmb10/Rwdd1/Mrpl16/Mdh1/Sart1/Eif3f/Tpi1/Gmds/Itpr2/Psmc1/Kif2c/P4ha2/Cops5/Rhog/Lage3/Cfap298/Pin1/Prcc/Urm1/Eif2b2/Ndufaf7/Commd4/Ccnd3/Mterf3/Nasp/Ruvbl1/Psmd8/Arl2bp/Psma7/Tmem11/Rexo2/Cd3d/Aldoa/Cnot8/Ppp2r5c/Hikeshi/Necap2/Smim7/Cyc1/Marchf5/Hnrnpm/Emc2/Dnajc8/Atp5b/Nfyb/Mgat1/Preb/Elavl1/Dtymk/Serbp1/Rtf2/Ugp2/Tmem165/Dnajb6/Parp2/Atic/Tada3"
"GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP","GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP","GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP",189,0.340172922199023,1.53601083576374,0.00294263393527524,0.0353463080951812,0.0288930417428341,3599,"tags=42%, list=26%, signal=32%","Atp6v0c/Mcfd2/Gstp2/Fkbp2/Nudt1/Gmfg/Sec61b/Elob/Hddc2/Lrrc42/Snapc1/Guk1/5730409E04Rik/Ndufa1/Bcap31/Hras/Cyba/Emp1/Uqcr11/Capns1/Drap1/Cd63/Tspo/Bsg/Psmc3/Anxa2/Gstp1/Hspa5/Nhp2/Mydgf/Ndufb7/Pdia6/Ctsl/Htatip2/Capzb/Timm17a/Mrpl23/Pir/Tmed9/Cks2/Kdelr2/Hexa/Sec13/Ptov1/Rpn1/Nucb1/Psmd7/Pitpna/Rabac1/Blvrb/U2af1/Ctsd/Hsp90b1/Jmjd6/Lmna/Ran/Atp6v0d1/Ybx1/Vdac3/Alas1/Pparg/Psmd8/P4hb/Lhfpl2/Adrm1/Por/Nqo1/Entpd6/Pdia3/Aldoa/Plin2/Rbbp4/Trappc3/Vcp/Lamp1/Srsf3/Sqstm1/Itga5/Pdia4/Trim16"
"GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN","GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN","GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_DN",160,0.354611909819302,1.56079136994883,0.00296045333735605,0.0354766796403632,0.0289996110197973,3715,"tags=39%, list=27%, signal=29%","Rec8/Hspa1a/Gnal/Uqcrb/Gstp2/Etfb/Lgals3/Slc39a4/Ndufb3/Snapc1/Mthfs/Fkbp11/Hspe1/Polr2l/Rps20/Iglv3/Asah1/Pcbd1/Eloc/Ndufaf6/Ndufb9/Gstp1/Gpank1/Rbm45/Rpl8/Eef1d/Fabp5/Cacybp/Mrpl13/Csnk2b/Vps28/Actr3/Rida/Fis1/Msmo1/Eny2/Mpi/Cbwd1/Dhrs1/Rpl7/Cops5/Wdyhv1/Ran/Bhlhe40/Top1mt/Ptpmt1/Ramp1/Snapc5/Ssb/Echdc2/9130401M01Rik/Naprt/Nol7/Eif3h/Dcaf13/Plin2/Prkra/Stat1/Cct6a/Tm2d2/Ints10/Nsmce2/Psmc6"
"GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN","GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_DN",170,0.360728146355279,1.60859140402082,0.00302222471697273,0.0361319025435261,0.0295352081928025,1743,"tags=26%, list=13%, signal=23%","Ndufaf2/Uqcrb/Ppp1r35/Fkbp2/Ccdc85b/Chchd2/Rplp2/Tomm7/Spsb2/Arf5/Prdx5/Ndufc1/Ube2m/Kcne3/Bcap31/Rex1bd/Ubl5/Ndufs5/Ethe1/Smim11/Ifi30/Ubxn1/Rps26/Commd9/Cuta/Tbca/Poc1a/Ndufb4/Mydgf/Ndufa6/Cks1b/Txn2/Kdm8/Fhad1/Ptdss1/Plekhj1/Slc35f6/Snx15/Ftl1/Nt5c/D8Ertd738e/Atp5l/Tmem101/Tmed9/Ier3ip1"
"GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP","GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP","GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP",189,0.339129619406844,1.53129992466767,0.00306122116493367,0.0365124107564571,0.0298462460429254,4333,"tags=47%, list=31%, signal=33%","Bri3/Tmem181a/Rpl37a/Ube2j2/Tomm7/Ndufb10/Snapc1/Guk1/Lamtor2/Ldhb/Chmp1a/Myl6/Rpl13a/Snrpd1/Ccdc32/Snrpd2/Rpl27/Pycard/Emg1/Hpdl/Bud31/Alkbh7/Cuedc2/Rps5/Surf1/Slc25a39/Ndufa8/Timm10/Ss18l2/Ddrgk1/Ndufab1/Tecr/Atp5g2/Dusp6/Chchd4/Agpat5/Glul/Triap1/Ap4s1/Rpl23a/Orai1/Rack1/Nxt1/Cltb/Naga/Trmt112/Phf23/Thumpd1/Gpr180/Hadh/Ciao2a/Tmem242/Bin3/Ube2t/Eif2b2/Coa6/Slc66a1/Thap11/Nifk/Exosc2/Zfp703/P4hb/Rrp36/Sfr1/Anapc16/Zfp688/Khk/Clptm1l/Tm2d2/Dnajc17/Paxx/Timm44/Cnn2/Rnf166/Egln3/Casp6/Mfn1/Kin/Tmem63a/Map3k6/Rrp15/Klc4/Mphosph10/Derl1/Rxylt1/Rpl4/Coq9/Ppp1r12c/Adsl"
